task_type,arrival_count,window_start_s,window_seconds,coverage
scheduling_class_0,1600,338400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1116,342000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,923,345600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1202,349200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1080,352800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1461,356400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1270,360000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,874,363600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1341,367200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,985,370800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1183,374400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1805,378000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1189,381600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1265,385200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,931,388800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1295,392400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1118,396000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1477,399600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1251,403200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1289,406800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1090,410400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1120,414000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,980,417600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1610,421200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1129,424800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1311,428400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1425,432000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,875,435600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1606,439200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1320,442800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1350,446400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1016,450000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1175,453600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1458,457200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1077,460800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1131,464400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1032,468000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1966,471600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,798,475200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,800,478800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,558,482400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1807,486000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1097,489600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,980,493200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1575,496800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1275,500400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1319,504000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1289,507600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1234,511200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1770,514800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1472,518400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,823,522000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,961,525600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1856,529200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1859,532800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1415,536400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1131,540000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1322,543600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1415,547200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1405,550800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1567,554400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1630,558000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1512,561600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1225,565200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1402,568800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1827,572400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2288,576000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1745,579600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1832,583200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2623,586800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2508,590400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2390,594000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2483,597600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2425,601200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2645,604800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2141,608400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2048,612000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3329,615600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2180,619200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2443,622800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2132,626400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2928,630000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2475,633600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2954,637200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2364,640800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2891,644400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2323,648000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2346,651600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2248,655200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2456,658800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2942,662400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2378,666000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1974,669600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1681,673200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2473,676800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2381,680400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2576,684000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2997,687600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2708,691200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2921,694800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2418,698400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2853,702000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2571,705600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3007,709200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2838,712800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2924,716400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2898,720000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3204,723600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2976,727200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2571,730800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2721,734400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2553,738000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2440,741600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2883,745200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2963,748800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2469,752400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2535,756000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2761,759600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2704,763200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3216,766800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3043,770400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2885,774000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2553,777600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2910,781200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2714,784800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3555,788400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2730,792000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2772,795600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2701,799200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2845,802800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2671,806400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3037,810000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2971,813600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2748,817200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2372,820800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2638,824400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2191,828000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2091,831600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2087,835200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1892,838800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2202,842400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2566,846000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2720,849600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3253,853200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3029,856800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2974,860400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2951,864000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2883,867600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2887,871200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3352,874800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2926,878400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3702,882000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2886,885600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2973,889200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2943,892800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3150,896400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2818,900000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2866,903600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2913,907200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3065,910800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2877,914400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3201,918000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3087,921600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3041,925200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2861,928800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2928,932400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2979,936000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3322,939600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3033,943200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3068,946800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2847,950400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2975,954000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2829,957600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3354,961200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2988,964800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3035,968400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2847,972000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2839,975600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2819,979200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3032,982800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2771,986400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2922,990000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2718,993600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2838,997200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2873,1000800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3249,1004400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2921,1008000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2945,1011600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2859,1015200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2876,1018800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2775,1022400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3192,1026000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3051,1029600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2966,1033200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2791,1036800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2821,1040400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2848,1044000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3179,1047600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2555,1051200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2823,1054800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2436,1058400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2641,1062000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2634,1065600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2898,1069200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2766,1072800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2381,1076400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2765,1080000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2413,1083600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2553,1087200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2762,1090800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2843,1094400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2650,1098000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2616,1101600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2612,1105200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2876,1108800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2977,1112400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3101,1116000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2677,1119600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2682,1123200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2749,1126800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2477,1130400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3048,1134000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2811,1137600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2618,1141200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2698,1144800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2708,1148400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2492,1152000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3067,1155600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2807,1159200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2596,1162800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2011,1166400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1127,1170000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1966,1173600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2409,1177200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2136,1180800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2130,1184400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2394,1188000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2747,1191600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2876,1195200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3110,1198800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2930,1202400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2773,1206000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2974,1209600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2935,1213200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2794,1216800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3069,1220400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2516,1224000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2622,1227600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2779,1231200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2828,1234800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2580,1238400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,3087,1242000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2678,1245600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2694,1249200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,2276,1252800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1784,1256400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,365,1260000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,369,1263600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,781,1267200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,363,1270800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,314,1274400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,290,1278000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,420,1281600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,710,1285200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,768,1288800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,516,1292400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,396,1296000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,506,1299600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,408,1303200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,761,1306800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,640,1310400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,565,1314000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,470,1317600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,432,1321200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,525,1324800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,704,1328400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,561,1332000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,521,1335600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,416,1339200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,516,1342800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,406,1346400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,444,1350000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,447,1353600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,457,1357200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,503,1360800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,505,1364400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,749,1368000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,807,1371600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,608,1375200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,626,1378800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,529,1382400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,532,1386000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,425,1389600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,1233,1393200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,642,1396800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,583,1400400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,438,1404000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,521,1407600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,414,1411200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,774,1414800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,505,1418400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,413,1422000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,370,1425600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,468,1429200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,806,1432800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,610,1436400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,565,1440000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,438,1443600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,492,1447200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,417,1450800,3600,within_recorded_span_not_independently_verified
scheduling_class_0,457,1454400,3600,within_recorded_span_not_independently_verified
scheduling_class_0,671,1458000,3600,within_recorded_span_not_independently_verified
scheduling_class_0,583,1461600,3600,within_recorded_span_not_independently_verified
scheduling_class_0,565,1465200,3600,within_recorded_span_not_independently_verified
scheduling_class_0,505,1468800,3600,within_recorded_span_not_independently_verified
