task_type,arrival_count,window_start_s,window_seconds,coverage
DNN_training,1,36000,3600,partial_boundary
DNN_training,0,39600,3600,within_recorded_span_not_independently_verified
DNN_training,0,43200,3600,within_recorded_span_not_independently_verified
DNN_training,0,46800,3600,within_recorded_span_not_independently_verified
DNN_training,0,50400,3600,within_recorded_span_not_independently_verified
DNN_training,0,54000,3600,within_recorded_span_not_independently_verified
DNN_training,0,57600,3600,within_recorded_span_not_independently_verified
DNN_training,0,61200,3600,within_recorded_span_not_independently_verified
DNN_training,0,64800,3600,within_recorded_span_not_independently_verified
DNN_training,0,68400,3600,within_recorded_span_not_independently_verified
DNN_training,0,72000,3600,within_recorded_span_not_independently_verified
DNN_training,0,75600,3600,within_recorded_span_not_independently_verified
DNN_training,0,79200,3600,within_recorded_span_not_independently_verified
DNN_training,0,82800,3600,within_recorded_span_not_independently_verified
DNN_training,0,86400,3600,within_recorded_span_not_independently_verified
DNN_training,0,90000,3600,within_recorded_span_not_independently_verified
DNN_training,0,93600,3600,within_recorded_span_not_independently_verified
DNN_training,0,97200,3600,within_recorded_span_not_independently_verified
DNN_training,0,100800,3600,within_recorded_span_not_independently_verified
DNN_training,0,104400,3600,within_recorded_span_not_independently_verified
DNN_training,0,108000,3600,within_recorded_span_not_independently_verified
DNN_training,0,111600,3600,within_recorded_span_not_independently_verified
DNN_training,0,115200,3600,within_recorded_span_not_independently_verified
DNN_training,0,118800,3600,within_recorded_span_not_independently_verified
DNN_training,0,122400,3600,within_recorded_span_not_independently_verified
DNN_training,0,126000,3600,within_recorded_span_not_independently_verified
DNN_training,0,129600,3600,within_recorded_span_not_independently_verified
DNN_training,0,133200,3600,within_recorded_span_not_independently_verified
DNN_training,0,136800,3600,within_recorded_span_not_independently_verified
DNN_training,0,140400,3600,within_recorded_span_not_independently_verified
DNN_training,0,144000,3600,within_recorded_span_not_independently_verified
DNN_training,0,147600,3600,within_recorded_span_not_independently_verified
DNN_training,0,151200,3600,within_recorded_span_not_independently_verified
DNN_training,0,154800,3600,within_recorded_span_not_independently_verified
DNN_training,0,158400,3600,within_recorded_span_not_independently_verified
DNN_training,0,162000,3600,within_recorded_span_not_independently_verified
DNN_training,0,165600,3600,within_recorded_span_not_independently_verified
DNN_training,0,169200,3600,within_recorded_span_not_independently_verified
DNN_training,0,172800,3600,within_recorded_span_not_independently_verified
DNN_training,0,176400,3600,within_recorded_span_not_independently_verified
DNN_training,0,180000,3600,within_recorded_span_not_independently_verified
DNN_training,0,183600,3600,within_recorded_span_not_independently_verified
DNN_training,0,187200,3600,within_recorded_span_not_independently_verified
DNN_training,0,190800,3600,within_recorded_span_not_independently_verified
DNN_training,0,194400,3600,within_recorded_span_not_independently_verified
DNN_training,0,198000,3600,within_recorded_span_not_independently_verified
DNN_training,0,201600,3600,within_recorded_span_not_independently_verified
DNN_training,0,205200,3600,within_recorded_span_not_independently_verified
DNN_training,0,208800,3600,within_recorded_span_not_independently_verified
DNN_training,0,212400,3600,within_recorded_span_not_independently_verified
DNN_training,0,216000,3600,within_recorded_span_not_independently_verified
DNN_training,0,219600,3600,within_recorded_span_not_independently_verified
DNN_training,0,223200,3600,within_recorded_span_not_independently_verified
DNN_training,0,226800,3600,within_recorded_span_not_independently_verified
DNN_training,0,230400,3600,within_recorded_span_not_independently_verified
DNN_training,0,234000,3600,within_recorded_span_not_independently_verified
DNN_training,0,237600,3600,within_recorded_span_not_independently_verified
DNN_training,0,241200,3600,within_recorded_span_not_independently_verified
DNN_training,0,244800,3600,within_recorded_span_not_independently_verified
DNN_training,0,248400,3600,within_recorded_span_not_independently_verified
DNN_training,0,252000,3600,within_recorded_span_not_independently_verified
DNN_training,0,255600,3600,within_recorded_span_not_independently_verified
DNN_training,0,259200,3600,within_recorded_span_not_independently_verified
DNN_training,0,262800,3600,within_recorded_span_not_independently_verified
DNN_training,0,266400,3600,within_recorded_span_not_independently_verified
DNN_training,0,270000,3600,within_recorded_span_not_independently_verified
DNN_training,0,273600,3600,within_recorded_span_not_independently_verified
DNN_training,1,277200,3600,within_recorded_span_not_independently_verified
DNN_training,0,280800,3600,within_recorded_span_not_independently_verified
DNN_training,0,284400,3600,within_recorded_span_not_independently_verified
DNN_training,0,288000,3600,within_recorded_span_not_independently_verified
DNN_training,0,291600,3600,within_recorded_span_not_independently_verified
DNN_training,0,295200,3600,within_recorded_span_not_independently_verified
DNN_training,0,298800,3600,within_recorded_span_not_independently_verified
DNN_training,0,302400,3600,within_recorded_span_not_independently_verified
DNN_training,0,306000,3600,within_recorded_span_not_independently_verified
DNN_training,0,309600,3600,within_recorded_span_not_independently_verified
DNN_training,0,313200,3600,within_recorded_span_not_independently_verified
DNN_training,0,316800,3600,within_recorded_span_not_independently_verified
DNN_training,0,320400,3600,within_recorded_span_not_independently_verified
DNN_training,0,324000,3600,within_recorded_span_not_independently_verified
DNN_training,0,327600,3600,within_recorded_span_not_independently_verified
DNN_training,0,331200,3600,within_recorded_span_not_independently_verified
DNN_training,0,334800,3600,within_recorded_span_not_independently_verified
DNN_training,0,338400,3600,within_recorded_span_not_independently_verified
DNN_training,0,342000,3600,within_recorded_span_not_independently_verified
DNN_training,0,345600,3600,within_recorded_span_not_independently_verified
DNN_training,0,349200,3600,within_recorded_span_not_independently_verified
DNN_training,0,352800,3600,within_recorded_span_not_independently_verified
DNN_training,0,356400,3600,within_recorded_span_not_independently_verified
DNN_training,0,360000,3600,within_recorded_span_not_independently_verified
DNN_training,0,363600,3600,within_recorded_span_not_independently_verified
DNN_training,0,367200,3600,within_recorded_span_not_independently_verified
DNN_training,0,370800,3600,within_recorded_span_not_independently_verified
DNN_training,0,374400,3600,within_recorded_span_not_independently_verified
DNN_training,0,378000,3600,within_recorded_span_not_independently_verified
DNN_training,0,381600,3600,within_recorded_span_not_independently_verified
DNN_training,0,385200,3600,within_recorded_span_not_independently_verified
DNN_training,0,388800,3600,within_recorded_span_not_independently_verified
DNN_training,0,392400,3600,within_recorded_span_not_independently_verified
DNN_training,0,396000,3600,within_recorded_span_not_independently_verified
DNN_training,0,399600,3600,within_recorded_span_not_independently_verified
DNN_training,0,403200,3600,within_recorded_span_not_independently_verified
DNN_training,0,406800,3600,within_recorded_span_not_independently_verified
DNN_training,0,410400,3600,within_recorded_span_not_independently_verified
DNN_training,1,414000,3600,within_recorded_span_not_independently_verified
DNN_training,0,417600,3600,within_recorded_span_not_independently_verified
DNN_training,0,421200,3600,within_recorded_span_not_independently_verified
DNN_training,1,424800,3600,within_recorded_span_not_independently_verified
DNN_training,1,428400,3600,within_recorded_span_not_independently_verified
DNN_training,0,432000,3600,within_recorded_span_not_independently_verified
DNN_training,0,435600,3600,within_recorded_span_not_independently_verified
DNN_training,0,439200,3600,within_recorded_span_not_independently_verified
DNN_training,0,442800,3600,within_recorded_span_not_independently_verified
DNN_training,0,446400,3600,within_recorded_span_not_independently_verified
DNN_training,0,450000,3600,within_recorded_span_not_independently_verified
DNN_training,0,453600,3600,within_recorded_span_not_independently_verified
DNN_training,0,457200,3600,within_recorded_span_not_independently_verified
DNN_training,0,460800,3600,within_recorded_span_not_independently_verified
DNN_training,0,464400,3600,within_recorded_span_not_independently_verified
DNN_training,0,468000,3600,within_recorded_span_not_independently_verified
DNN_training,0,471600,3600,within_recorded_span_not_independently_verified
DNN_training,0,475200,3600,within_recorded_span_not_independently_verified
DNN_training,0,478800,3600,within_recorded_span_not_independently_verified
DNN_training,0,482400,3600,within_recorded_span_not_independently_verified
DNN_training,0,486000,3600,within_recorded_span_not_independently_verified
DNN_training,0,489600,3600,within_recorded_span_not_independently_verified
DNN_training,0,493200,3600,within_recorded_span_not_independently_verified
DNN_training,0,496800,3600,within_recorded_span_not_independently_verified
DNN_training,0,500400,3600,within_recorded_span_not_independently_verified
DNN_training,0,504000,3600,within_recorded_span_not_independently_verified
DNN_training,0,507600,3600,within_recorded_span_not_independently_verified
DNN_training,0,511200,3600,within_recorded_span_not_independently_verified
DNN_training,0,514800,3600,within_recorded_span_not_independently_verified
DNN_training,0,518400,3600,within_recorded_span_not_independently_verified
DNN_training,0,522000,3600,within_recorded_span_not_independently_verified
DNN_training,0,525600,3600,within_recorded_span_not_independently_verified
DNN_training,0,529200,3600,within_recorded_span_not_independently_verified
DNN_training,0,532800,3600,within_recorded_span_not_independently_verified
DNN_training,0,536400,3600,within_recorded_span_not_independently_verified
DNN_training,0,540000,3600,within_recorded_span_not_independently_verified
DNN_training,0,543600,3600,within_recorded_span_not_independently_verified
DNN_training,0,547200,3600,within_recorded_span_not_independently_verified
DNN_training,0,550800,3600,within_recorded_span_not_independently_verified
DNN_training,0,554400,3600,within_recorded_span_not_independently_verified
DNN_training,0,558000,3600,within_recorded_span_not_independently_verified
DNN_training,0,561600,3600,within_recorded_span_not_independently_verified
DNN_training,0,565200,3600,within_recorded_span_not_independently_verified
DNN_training,0,568800,3600,within_recorded_span_not_independently_verified
DNN_training,0,572400,3600,within_recorded_span_not_independently_verified
DNN_training,0,576000,3600,within_recorded_span_not_independently_verified
DNN_training,0,579600,3600,within_recorded_span_not_independently_verified
DNN_training,0,583200,3600,within_recorded_span_not_independently_verified
DNN_training,0,586800,3600,within_recorded_span_not_independently_verified
DNN_training,0,590400,3600,within_recorded_span_not_independently_verified
DNN_training,0,594000,3600,within_recorded_span_not_independently_verified
DNN_training,0,597600,3600,within_recorded_span_not_independently_verified
DNN_training,0,601200,3600,within_recorded_span_not_independently_verified
DNN_training,0,604800,3600,within_recorded_span_not_independently_verified
DNN_training,0,608400,3600,within_recorded_span_not_independently_verified
DNN_training,0,612000,3600,within_recorded_span_not_independently_verified
DNN_training,0,615600,3600,within_recorded_span_not_independently_verified
DNN_training,0,619200,3600,within_recorded_span_not_independently_verified
DNN_training,0,622800,3600,within_recorded_span_not_independently_verified
DNN_training,0,626400,3600,within_recorded_span_not_independently_verified
DNN_training,0,630000,3600,within_recorded_span_not_independently_verified
DNN_training,0,633600,3600,within_recorded_span_not_independently_verified
DNN_training,0,637200,3600,within_recorded_span_not_independently_verified
DNN_training,0,640800,3600,within_recorded_span_not_independently_verified
DNN_training,0,644400,3600,within_recorded_span_not_independently_verified
DNN_training,0,648000,3600,within_recorded_span_not_independently_verified
DNN_training,0,651600,3600,within_recorded_span_not_independently_verified
DNN_training,0,655200,3600,within_recorded_span_not_independently_verified
DNN_training,0,658800,3600,within_recorded_span_not_independently_verified
DNN_training,0,662400,3600,within_recorded_span_not_independently_verified
DNN_training,0,666000,3600,within_recorded_span_not_independently_verified
DNN_training,0,669600,3600,within_recorded_span_not_independently_verified
DNN_training,0,673200,3600,within_recorded_span_not_independently_verified
DNN_training,0,676800,3600,within_recorded_span_not_independently_verified
DNN_training,0,680400,3600,within_recorded_span_not_independently_verified
DNN_training,0,684000,3600,within_recorded_span_not_independently_verified
DNN_training,1,687600,3600,within_recorded_span_not_independently_verified
DNN_training,0,691200,3600,within_recorded_span_not_independently_verified
DNN_training,0,694800,3600,within_recorded_span_not_independently_verified
DNN_training,0,698400,3600,within_recorded_span_not_independently_verified
DNN_training,0,702000,3600,within_recorded_span_not_independently_verified
DNN_training,0,705600,3600,within_recorded_span_not_independently_verified
DNN_training,0,709200,3600,within_recorded_span_not_independently_verified
DNN_training,0,712800,3600,within_recorded_span_not_independently_verified
